stage,evaluation,episodes,success_rate,yaw_error_deg,pitch_error_deg,yaw_speed_deg_s,pitch_speed_deg_s
Integrated gaze,FULL GAZE NOMINAL,100,0.12,13.444378298332513,0.6569438223248223,13.354677252234817,5.1486605732424815
Yaw-focus,FULL GAZE NOMINAL,100,0.1,3.65377006671284,1.4251159493345864,16.993038423884144,6.705966866317717
Overnight best,OVERNIGHT BEST - NOMINAL,100,0.21,0.8236082037937351,0.7294362997076754,7.731177805094076,3.544984608747834
